Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,UTC,Zone,Letter
1696983306.3123643,0,906,0,GPS1_Frame,42.339510000000004,-71.08897166666667,1.0,19.5,327915.4003950392,4689586.119465988,,19,T
1696983307.3127174,0,907,0,GPS1_Frame,42.339504999999996,-71.088965,1.0,19.9,327915.9359624501,4689585.550761433,,19,T
1696983308.3159704,0,908,0,GPS1_Frame,42.33949833333333,-71.08896,1.0,20.3,327916.3296814417,4689584.800359329,,19,T
1696983309.3347216,0,909,0,GPS1_Frame,42.33948999999999,-71.08895333333334,1.0,20.5,327916.8561557776,4689583.861513461,,19,T
1696983310.3348696,0,910,0,GPS1_Frame,42.33948333333333,-71.08894833333333,1.0,20.7,327917.24987497594,4689583.111111416,,19,T
1696983311.3156543,0,911,0,GPS1_Frame,42.33947499999999,-71.08894333333333,1.0,20.8,327917.639047658,4689582.1756387,,19,T
1696983312.3155215,0,912,0,GPS1_Frame,42.33946833333333,-71.08893833333333,1.0,21.0,327918.0327670466,4689581.425236707,,19,T
1696983313.3362522,0,913,0,GPS1_Frame,42.33945833333334,-71.08893666666667,1.0,21.3,327918.1427894492,4689580.311439472,,19,T
1696983314.335214,0,914,0,GPS1_Frame,42.33945000000001,-71.08893333333334,1.0,21.6,327918.3946604602,4689579.3793398775,,19,T
1696983315.3342829,0,915,0,GPS1_Frame,42.339441666666666,-71.08892999999999,1.0,21.7,327918.6465315494,4689578.447240293,,19,T
1696983316.334743,0,916,0,GPS1_Frame,42.339435,-71.08892333333333,1.0,22.2,327919.17755328625,4689577.693465325,,19,T
1696983317.3348436,0,917,0,GPS1_Frame,42.33942666666667,-71.08891833333334,1.0,22.5,327919.5667265771,4689576.757992742,,19,T
1696983318.3124752,0,918,0,GPS1_Frame,42.339418333333334,-71.08891333333332,1.2,22.7,327919.9558999826,4689575.822520183,,19,T
1696983319.3160703,0,919,0,GPS1_Frame,42.33941166666667,-71.08890500000001,1.0,23.1,327920.6242241312,4689575.065372313,,19,T
1696983320.3149433,0,920,0,GPS1_Frame,42.33940333333333,-71.08889833333333,1.0,23.6,327921.1506998599,4689574.1265268205,,19,T
1696983321.3165867,0,921,0,GPS1_Frame,42.339394999999996,-71.08888833333334,1.0,24.0,327921.9517799208,4689573.180935397,,19,T
1696983322.3375843,0,922,0,GPS1_Frame,42.33938666666666,-71.08888333333333,1.0,24.4,327922.34095387324,4689572.24546299,,19,T
1696983323.3381696,0,923,0,GPS1_Frame,42.33937833333333,-71.08887833333333,1.0,24.9,327922.730127936,4689571.309990611,,19,T
1696983324.3165593,0,924,0,GPS1_Frame,42.33936833333334,-71.08887166666666,1.0,25.3,327923.2520578214,4689570.186074608,,19,T
1696983325.3167744,0,925,0,GPS1_Frame,42.339360000000006,-71.08886833333332,1.0,25.8,327923.503929971,4689569.253975239,,19,T
1696983326.317085,0,926,0,GPS1_Frame,42.339351666666666,-71.08886833333332,1.0,26.4,327923.48119782284,4689568.328621785,,19,T
1696983327.3174844,0,927,0,GPS1_Frame,42.33934166666666,-71.088865,1.0,27.0,327923.72852366744,4689567.21145174,,19,T
1696983328.3174818,0,928,0,GPS1_Frame,42.33933333333333,-71.08886333333334,1.0,27.4,327923.84309378744,4689566.28272534,,19,T
1696983329.3163552,0,929,0,GPS1_Frame,42.339324999999995,-71.08886000000001,1.0,27.8,327924.09496619564,4689565.350626007,,19,T
1696983330.3163297,0,930,0,GPS1_Frame,42.339315000000006,-71.088855,1.0,28.0,327924.4795945472,4689564.230083064,,19,T
1696983331.31672,0,931,0,GPS1_Frame,42.339304999999996,-71.08885000000001,1.0,28.3,327924.8642230325,4689563.109540146,,19,T
1696983332.3171947,0,932,0,GPS1_Frame,42.33929666666666,-71.08884333333334,1.0,28.5,327925.3907003328,4689562.17069503,,19,T
1696983333.317173,0,933,0,GPS1_Frame,42.33928833333333,-71.08883999999999,1.0,28.7,327925.6425731365,4689561.238595768,,19,T
1696983334.3153117,0,934,0,GPS1_Frame,42.33927833333334,-71.08883333333333,1.0,28.7,327926.1645043513,4689560.114680034,,19,T
1696983335.3166513,0,935,0,GPS1_Frame,42.339270000000006,-71.08882166666668,1.0,28.8,327927.1028891717,4689559.165716392,,19,T
1696983336.3191836,0,936,0,GPS1_Frame,42.339261666666665,-71.08881500000001,1.0,28.9,327927.6293671001,4689558.226871468,,19,T
1696983337.318075,0,937,0,GPS1_Frame,42.33925333333333,-71.08881166666667,1.0,28.9,327927.88124037767,4689557.294772303,,19,T
1696983338.318937,0,938,0,GPS1_Frame,42.339245,-71.08880833333333,1.0,29.0,327928.1331137316,4689556.362673151,,19,T
1696983339.339138,0,939,0,GPS1_Frame,42.339236666666665,-71.0888,1.0,29.0,327928.7968944717,4689555.420455478,,19,T
1696983340.3194067,0,940,0,GPS1_Frame,42.33922833333333,-71.08879166666667,1.0,29.1,327929.4606753989,4689554.478237874,,19,T
1696983341.3191717,0,941,0,GPS1_Frame,42.33921999999999,-71.08878333333334,1.0,29.1,327930.12445650663,4689553.536020337,,19,T
1696983342.3186169,0,942,0,GPS1_Frame,42.33921166666667,-71.088775,1.0,29.2,327930.7882378035,4689552.59380287,,19,T
1696983343.318799,0,943,0,GPS1_Frame,42.33920333333334,-71.08876666666667,1.0,29.4,327931.4520192811,4689551.651585476,,19,T
1696983344.3385801,0,944,0,GPS1_Frame,42.339195000000004,-71.08875833333333,1.0,29.4,327932.11580094777,4689550.70936815,,19,T
1696983345.3375857,0,945,0,GPS1_Frame,42.33918833333334,-71.08874999999999,1.0,29.4,327932.78412895417,4689549.952221577,,19,T
1696983346.337222,0,946,0,GPS1_Frame,42.33917833333333,-71.08874166666666,1.0,29.6,327933.4433648314,4689548.824933704,,19,T
1696983347.3163557,0,947,0,GPS1_Frame,42.339168333333326,-71.08873666666666,1.0,29.7,327933.8279957607,4689547.70439137,,19,T
1696983348.3184311,0,948,0,GPS1_Frame,42.33915999999999,-71.08873,1.0,29.8,327934.354475545,4689546.765547019,,19,T
1696983349.3198848,0,949,0,GPS1_Frame,42.339150000000004,-71.08872166666667,1.0,29.8,327935.0137120044,4689545.638259317,,19,T
1696983350.3389976,0,950,0,GPS1_Frame,42.33914333333334,-71.08871166666667,1.0,29.9,327935.8193434735,4689544.8777403515,,19,T
1696983351.340006,0,951,0,GPS1_Frame,42.339135000000006,-71.08870499999999,1.0,30.1,327936.34582376026,4689543.93889617,,19,T
1696983352.3403463,0,952,0,GPS1_Frame,42.339128333333335,-71.08869666666666,1.0,30.2,327937.014152904,4689543.18175004,,19,T
1696983353.340344,0,953,0,GPS1_Frame,42.33912,-71.08869,1.0,30.3,327937.5406334867,4689542.242905957,,19,T
1696983354.318824,0,954,0,GPS1_Frame,42.33911333333334,-71.08868000000001,1.0,30.4,327938.346265633,4689541.482387306,,19,T
1696983355.3179536,0,955,0,GPS1_Frame,42.339103333333334,-71.08867333333333,1.0,30.5,327938.86820055346,4689540.358472653,,19,T
1696983356.316426,0,956,0,GPS1_Frame,42.33909666666667,-71.08866833333333,1.0,30.5,327939.2619248482,4689539.608072035,,19,T
1696983357.3168497,0,957,0,GPS1_Frame,42.33908833333333,-71.08866333333334,1.0,30.5,327939.6511032684,4689538.672600759,,19,T
1696983358.3174114,0,958,0,GPS1_Frame,42.339079999999996,-71.088655,1.0,30.5,327940.3148873575,4689537.730384295,,19,T
1696983359.3167562,0,959,0,GPS1_Frame,42.33907166666666,-71.08865,1.0,30.4,327940.70406604314,4689536.79491309,,19,T
1696983360.3368573,0,960,0,GPS1_Frame,42.339065,-71.08864333333332,1.0,30.3,327941.2350935674,4689536.041140003,,19,T
1696983361.3378909,0,961,0,GPS1_Frame,42.33905500000001,-71.08863833333334,1.0,30.3,327941.6197265781,4689534.920598177,,19,T
1696983362.317246,0,962,0,GPS1_Frame,42.339046666666675,-71.08863166666667,1.0,30.3,327942.1462084678,4689533.98175449,,19,T
1696983363.3172913,0,963,0,GPS1_Frame,42.339038333333335,-71.08862333333333,1.0,30.3,327942.80999337486,4689533.039538291,,19,T
1696983364.33775,0,964,0,GPS1_Frame,42.33902833333333,-71.08861666666667,1.0,30.4,327943.33192972525,4689531.915624023,,19,T
1696983365.3371868,0,965,0,GPS1_Frame,42.33902,-71.08860833333333,1.0,30.5,327943.99571500084,4689530.973407953,,19,T
1696983366.3362646,0,966,0,GPS1_Frame,42.339011666666664,-71.08859833333332,1.0,30.5,327944.79680338793,4689530.027819435,,19,T
1696983367.338079,0,967,0,GPS1_Frame,42.339005,-71.08858833333333,1.0,30.3,327945.6024377827,4689529.267301697,,19,T
1696983368.3365145,0,968,0,GPS1_Frame,42.33899666666666,-71.08858000000001,1.0,30.4,327946.26622363005,4689528.325085859,,19,T
1696983369.3160243,0,969,0,GPS1_Frame,42.338989999999995,-71.08856166666666,1.0,28.9,327947.7583732487,4689527.547706002,,19,T
1696983370.3151755,0,970,0,GPS1_Frame,42.33898166666666,-71.08854833333334,1.0,28.1,327948.834068524,4689526.59537308,,19,T
1696983371.3149912,0,971,0,GPS1_Frame,42.33897666666667,-71.08853833333333,1.0,27.4,327949.6442494341,4689526.019926509,,19,T
1696983372.3155901,0,972,0,GPS1_Frame,42.33897,-71.08853166666667,1.0,27.3,327950.17527878913,4689525.266154165,,19,T
1696983373.3366506,0,973,0,GPS1_Frame,42.33896333333334,-71.08852499999999,1.0,26.8,327950.7063082624,4689524.512381865,,19,T
1696983374.3351038,0,974,0,GPS1_Frame,42.338955000000006,-71.08852333333333,1.0,26.4,327950.8208830758,4689523.583656092,,19,T
1696983375.316593,0,975,0,GPS1_Frame,42.338943333333326,-71.08852,1.0,26.5,327951.0636697253,4689522.281416586,,19,T
1696983376.315158,0,976,0,GPS1_Frame,42.33893333333334,-71.088515,1.0,26.5,327951.4483052087,4689521.160875389,,19,T
1696983377.3155334,0,977,0,GPS1_Frame,42.338921666666664,-71.08850833333332,1.0,26.6,327951.96569833683,4689519.851891177,,19,T
1696983378.3160279,0,978,0,GPS1_Frame,42.338911666666675,-71.08850000000001,1.0,26.5,327952.62494040653,4689518.724605335,,19,T
1696983379.3147762,0,979,0,GPS1_Frame,42.338901666666665,-71.08849166666667,1.0,26.4,327953.284182701,4689517.59731956,,19,T
1696983380.315511,0,980,0,GPS1_Frame,42.33889166666666,-71.08848666666667,1.0,26.5,327953.6688188483,4689516.476778512,,19,T
1696983381.3146527,0,981,0,GPS1_Frame,42.33888,-71.08848333333334,1.0,26.3,327953.9116063735,4689515.174539141,,19,T
1696983382.3148685,0,982,0,GPS1_Frame,42.33886833333333,-71.08847999999999,1.0,26.0,327954.1543940074,4689513.872299783,,19,T
