Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,UTC,Zone,Letter
1696981585.008672,0,85585,0,GPS1_Frame,42.338029999999996,-71.08877833333332,1.2,46.0,327927.290398973,4689421.385443871,,19,T
1696981586.0077477,0,85586,0,GPS1_Frame,42.338031666666666,-71.08878166666666,1.2,45.9,327927.0203349659,4689421.577260114,,19,T
1696981587.0086088,0,85587,0,GPS1_Frame,42.338033333333335,-71.088785,1.2,45.7,327926.7502709734,4689421.769076368,,19,T
1696981588.0094523,0,85588,0,GPS1_Frame,42.338035000000005,-71.08878666666666,1.2,45.5,327926.6175120516,4689421.957519827,,19,T
1696981589.0511904,0,85589,0,GPS1_Frame,42.33803666666666,-71.08879,1.2,45.4,327926.34744808264,4689422.149336095,,19,T
1696981590.0120428,0,85590,0,GPS1_Frame,42.33804,-71.08879166666667,1.1,45.2,327926.2192353283,4689422.522850215,,19,T
1696981591.0542822,0,85591,0,GPS1_Frame,42.33804166666667,-71.08879333333333,1.1,45.1,327926.0864764339,4689422.711293685,,19,T
1696981592.0119312,0,85592,0,GPS1_Frame,42.338044999999994,-71.08879666666667,1.1,45.0,327925.8209586694,4689423.08818063,,19,T
1696981593.0501027,0,85593,0,GPS1_Frame,42.33804666666666,-71.08879666666667,1.4,44.9,327925.825504828,4689423.273251283,,19,T
1696981594.011647,0,85594,0,GPS1_Frame,42.33805166666666,-71.08879833333334,1.1,44.7,327925.7018382846,4689423.831836069,,19,T
1696981595.0424433,0,85595,0,GPS1_Frame,42.338056666666674,-71.08880166666667,1.7,44.6,327925.4408667575,4689424.393793686,,19,T
1696981596.0011654,0,85596,0,GPS1_Frame,42.33806333333334,-71.08880333333333,1.7,44.3,327925.3217464499,4689425.137449133,,19,T
1696981597.0043147,0,85597,0,GPS1_Frame,42.33806833333333,-71.08880666666667,1.5,44.2,327925.0607750071,4689425.699406767,,19,T
1696981598.0489464,0,85598,0,GPS1_Frame,42.33807166666667,-71.08880833333333,1.2,44.0,327924.9325623978,4689426.072920916,,19,T
1696981599.0497265,0,85599,0,GPS1_Frame,42.338074999999996,-71.08881,1.2,43.9,327924.8043498035,4689426.446435067,,19,T
1696981600.0083516,0,85600,0,GPS1_Frame,42.338076666666666,-71.08880833333333,1.2,43.7,327924.946200957,4689426.62813288,,19,T
1696981601.0493433,0,85601,0,GPS1_Frame,42.338080000000005,-71.08880833333333,1.2,43.3,327924.9552933306,4689426.998274189,,19,T
1696981602.051154,0,85602,0,GPS1_Frame,42.33808333333333,-71.08881,1.2,43.0,327924.82708075584,4689427.371788342,,19,T
1696981603.051989,0,85603,0,GPS1_Frame,42.33808666666667,-71.08881,1.2,42.9,327924.8361731379,4689427.741929649,,19,T
1696981604.051188,0,85604,0,GPS1_Frame,42.338088333333324,-71.08881,1.2,42.7,327924.8407193291,4689427.927000303,,19,T
1696981605.0098782,0,85605,0,GPS1_Frame,42.338091666666664,-71.08881,1.2,42.4,327924.84981171193,4689428.297141613,,19,T
1696981606.0102882,0,85606,0,GPS1_Frame,42.33809333333333,-71.08881,1.2,42.3,327924.8543579036,4689428.48221227,,19,T
1696981607.0506327,0,85607,0,GPS1_Frame,42.33809333333333,-71.08881166666667,1.2,42.2,327924.7170529745,4689428.485585116,,19,T
1696981608.009066,0,85608,0,GPS1_Frame,42.338095,-71.08881166666667,1.2,42.1,327924.72159917,4689428.670655771,,19,T
1696981609.0072663,0,85609,0,GPS1_Frame,42.338100000000004,-71.08881500000001,1.3,42.0,327924.46062793,4689429.232613435,,19,T
1696981610.006163,0,85610,0,GPS1_Frame,42.338101666666674,-71.08881500000001,1.3,41.8,327924.46517413325,4689429.417684091,,19,T
1696981611.0063121,0,85611,0,GPS1_Frame,42.338105,-71.08881833333334,1.3,41.7,327924.1996567348,4689429.794571111,,19,T
1696981612.0053809,0,85612,0,GPS1_Frame,42.33810833333334,-71.08882166666668,1.3,41.5,327923.93413936807,4689430.171458144,,19,T
1696981613.00595,0,85613,0,GPS1_Frame,42.33811166666666,-71.08882333333332,1.3,41.3,327923.80592691817,4689430.544972319,,19,T
1696981614.0061758,0,85614,0,GPS1_Frame,42.33811333333333,-71.088825,1.3,41.1,327923.6731682549,4689430.733415842,,19,T
1696981615.0214624,0,85615,0,GPS1_Frame,42.33811666666667,-71.08882666666666,1.3,41.0,327923.54495583125,4689431.106930024,,19,T
1696981616.0063639,0,85616,0,GPS1_Frame,42.33811666666667,-71.08883,1.3,40.9,327923.27034607646,4689431.113675773,,19,T
1696981617.0064874,0,85617,0,GPS1_Frame,42.33811833333333,-71.08883,1.3,40.7,327923.2748923138,4689431.298746428,,19,T
1696981618.0069609,0,85618,0,GPS1_Frame,42.33811666666667,-71.08882833333334,1.3,40.7,327923.4076509528,4689431.110302897,,19,T
1696981619.006541,0,85619,0,GPS1_Frame,42.33811666666667,-71.08882833333334,1.3,40.5,327923.4076509528,4689431.110302897,,19,T
1696981620.0060892,0,85620,0,GPS1_Frame,42.33811833333333,-71.08882833333334,1.3,40.5,327923.4121971865,4689431.2953735525,,19,T
