Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,Fix_quality,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1697735005.8285558,1,25,60,GPS1_Frame,42.33847,-71.092025,50.58599853515625,5,1.0,327661.02215256676,4689476.819418583,170325.59375,19,T
1697735006.8182888,2,26,60,GPS1_Frame,42.33847,-71.09202666666667,50.72999954223633,5,1.100000023841858,327660.8848484339,4689476.822796629,170326.59375,19,T
1697735007.8223286,3,27,60,GPS1_Frame,42.33847,-71.09202666666667,50.86600112915039,5,1.100000023841858,327660.8848484339,4689476.822796629,170327.59375,19,T
1697735008.83522,4,28,60,GPS1_Frame,42.33847,-71.09202666666667,51.00600051879883,5,1.100000023841858,327660.8848484339,4689476.822796629,170328.59375,19,T
1697735009.856595,5,29,60,GPS1_Frame,42.33847,-71.09202833333333,51.30699920654297,5,0.8999999761581421,327660.747544301,4689476.826174679,170329.59375,19,T
1697735010.866111,6,30,60,GPS1_Frame,42.33847,-71.09202833333333,51.62300109863281,5,0.8999999761581421,327660.747544301,4689476.826174679,170330.59375,19,T
1697735011.8749177,7,31,60,GPS1_Frame,42.33847,-71.09203,51.91400146484375,5,1.100000023841858,327660.610240166,4689476.829552731,170331.59375,19,T
1697735012.8323393,8,32,60,GPS1_Frame,42.33847,-71.09203,52.137001037597656,5,1.0,327660.610240166,4689476.829552731,170332.59375,19,T
1697735013.8385181,9,33,60,GPS1_Frame,42.33847,-71.09203166666667,52.29399871826172,5,0.800000011920929,327660.472936031,4689476.832930786,170333.59375,19,T
1697735014.8394578,10,34,60,GPS1_Frame,42.33846833333333,-71.09203166666667,52.36199951171875,5,0.8999999761581421,327660.4683827873,4689476.647860084,170334.59375,19,T
1697735015.8644347,11,35,60,GPS1_Frame,42.33846833333333,-71.09203,52.323001861572266,5,1.100000023841858,327660.60568692593,4689476.644482029,170335.59375,19,T
1697735016.8386855,12,36,60,GPS1_Frame,42.33846833333333,-71.09203,52.347999572753906,5,0.800000011920929,327660.60568692593,4689476.644482029,170336.59375,19,T
1697735017.8187792,13,37,60,GPS1_Frame,42.33846666666667,-71.09203,52.41400146484375,5,1.100000023841858,327660.601133686,4689476.459411328,170337.59375,19,T
1697735018.824459,14,38,60,GPS1_Frame,42.33846666666667,-71.09203,52.422000885009766,5,0.8999999761581421,327660.601133686,4689476.459411328,170338.59375,19,T
1697735019.8078568,15,39,60,GPS1_Frame,42.33846666666667,-71.09203,52.380001068115234,5,1.5,327660.601133686,4689476.459411328,170339.59375,19,T
1697735020.8280537,16,40,60,GPS1_Frame,42.33846666666667,-71.09203,52.29800033569336,5,1.399999976158142,327660.601133686,4689476.459411328,170340.59375,19,T
1697735021.8281574,17,41,60,GPS1_Frame,42.33846666666667,-71.09202833333333,52.27399826049805,5,1.399999976158142,327660.73843782826,4689476.456033276,170341.59375,19,T
1697735022.6965683,18,42,60,GPS1_Frame,42.33846666666667,-71.09202833333333,52.25400161743164,5,1.399999976158142,327660.73843782826,4689476.456033276,170342.59375,19,T
1697735023.8197818,19,43,60,GPS1_Frame,42.338465,-71.09202833333333,52.19900131225586,5,1.2999999523162842,327660.73388459213,4689476.2709625745,170343.59375,19,T
1697735024.8150458,20,44,60,GPS1_Frame,42.338465,-71.09202833333333,52.090999603271484,5,1.2999999523162842,327660.73388459213,4689476.2709625745,170344.59375,19,T
1697735025.799889,21,45,60,GPS1_Frame,42.338465,-71.09202666666667,51.98500061035156,5,1.100000023841858,327660.8711887359,4689476.267584525,170345.59375,19,T
1697735026.8111353,22,46,60,GPS1_Frame,42.338465,-71.09202666666667,51.88999938964844,5,1.100000023841858,327660.8711887359,4689476.267584525,170346.59375,19,T
1697735027.8159847,23,47,60,GPS1_Frame,42.338465,-71.092025,51.797000885009766,5,1.100000023841858,327661.0084928797,4689476.264206479,170347.59375,19,T
1697735028.8035479,24,48,60,GPS1_Frame,42.33846333333334,-71.092025,51.667999267578125,5,1.100000023841858,327661.00393965084,4689476.079135779,170348.59375,19,T
1697735029.7960024,25,49,60,GPS1_Frame,42.33846333333334,-71.092025,51.547000885009766,5,1.100000023841858,327661.00393965084,4689476.079135779,170349.59375,19,T
1697735030.8062155,26,50,60,GPS1_Frame,42.33846333333334,-71.09202333333333,51.4370002746582,5,1.100000023841858,327661.14124380035,4689476.0757577345,170350.59375,19,T
1697735031.8115861,27,51,60,GPS1_Frame,42.33846333333334,-71.09202333333333,51.29999923706055,5,1.100000023841858,327661.14124380035,4689476.0757577345,170351.59375,19,T
1697735032.816037,28,52,60,GPS1_Frame,42.33846166666667,-71.09202333333333,51.154998779296875,5,1.100000023841858,327661.1366905754,4689475.890687033,170352.59375,19,T
1697735033.840379,29,53,60,GPS1_Frame,42.33846166666667,-71.09202166666667,51.02399826049805,5,1.100000023841858,327661.27399472636,4689475.887308992,170353.59375,19,T
1697735034.8227868,30,54,60,GPS1_Frame,42.33846,-71.09202166666667,50.87699890136719,5,1.100000023841858,327661.2694415052,4689475.702238292,170354.59375,19,T
1697735035.8086927,31,55,60,GPS1_Frame,42.33846,-71.09202166666667,50.770999908447266,5,1.100000023841858,327661.2694415052,4689475.702238292,170355.59375,19,T
1697735036.8103328,32,56,60,GPS1_Frame,42.33846,-71.09202166666667,50.61899948120117,5,1.100000023841858,327661.2694415052,4689475.702238292,170356.59375,19,T
1697735037.8248289,33,57,60,GPS1_Frame,42.338458333333335,-71.09202166666667,50.486000061035156,5,1.0,327661.26488828415,4689475.517167591,170357.59375,19,T
1697735038.808877,34,58,60,GPS1_Frame,42.338458333333335,-71.09202,50.33700180053711,5,1.0,327661.4021924424,4689475.513789551,170358.59375,19,T
1697735039.8013191,35,59,60,GPS1_Frame,42.338458333333335,-71.09202,50.2140007019043,5,1.100000023841858,327661.4021924424,4689475.513789551,170359.59375,19,T
1697735040.8328073,36,0,60,GPS1_Frame,42.338456666666666,-71.09202166666667,50.073001861572266,5,1.399999976158142,327661.2603350632,4689475.332096891,170400.59375,19,T
1697735041.845127,37,1,60,GPS1_Frame,42.338456666666666,-71.09202166666667,49.90299987792969,5,1.2999999523162842,327661.2603350632,4689475.332096891,170401.59375,19,T
1697735042.8261228,38,2,60,GPS1_Frame,42.338455,-71.09202166666667,49.76300048828125,5,1.399999976158142,327661.2557818425,4689475.147026189,170402.59375,19,T
1697735043.8299663,39,3,60,GPS1_Frame,42.338455,-71.09202166666667,49.58399963378906,5,1.2999999523162842,327661.2557818425,4689475.147026189,170403.59375,19,T
1697735044.8410017,40,4,60,GPS1_Frame,42.338455,-71.09202166666667,49.430999755859375,5,1.100000023841858,327661.2557818425,4689475.147026189,170404.59375,19,T
1697735045.8402364,41,5,60,GPS1_Frame,42.338453333333334,-71.09202166666667,49.27299880981445,5,1.100000023841858,327661.2512286219,4689474.96195549,170405.59375,19,T
1697735046.8150675,42,6,60,GPS1_Frame,42.338453333333334,-71.09202166666667,49.097999572753906,5,1.100000023841858,327661.2512286219,4689474.96195549,170406.59375,19,T
1697735047.8124957,43,7,60,GPS1_Frame,42.338453333333334,-71.09202166666667,48.888999938964844,5,1.100000023841858,327661.2512286219,4689474.96195549,170407.59375,19,T
1697735048.8421993,44,8,60,GPS1_Frame,42.338451666666664,-71.09202166666667,48.768001556396484,5,0.8999999761581421,327661.24667540134,4689474.776884788,170408.59375,19,T
1697735049.8207047,45,9,60,GPS1_Frame,42.338451666666664,-71.09202333333333,48.676998138427734,5,0.8999999761581421,327661.1093712286,4689474.780262829,170409.59375,19,T
1697735050.8248172,46,10,60,GPS1_Frame,42.338451666666664,-71.09202333333333,48.564998626708984,5,0.8999999761581421,327661.1093712286,4689474.780262829,170410.59375,19,T
1697735051.8283129,47,11,60,GPS1_Frame,42.338451666666664,-71.09202333333333,48.43199920654297,5,0.8999999761581421,327661.1093712286,4689474.780262829,170411.59375,19,T
1697735052.8279896,48,12,60,GPS1_Frame,42.33845,-71.092025,48.32699966430664,5,0.8999999761581421,327660.9675138261,4689474.598570172,170412.59375,19,T
1697735053.8078203,49,13,60,GPS1_Frame,42.33845,-71.092025,48.20899963378906,5,0.8999999761581421,327660.9675138261,4689474.598570172,170413.59375,19,T
1697735054.8140864,50,14,60,GPS1_Frame,42.33845,-71.092025,48.108001708984375,5,0.8999999761581421,327660.9675138261,4689474.598570172,170414.59375,19,T
1697735055.8114648,51,15,60,GPS1_Frame,42.33845,-71.09202666666667,48.020999908447266,5,0.8999999761581421,327660.8302096497,4689474.601948218,170415.59375,19,T
1697735056.8231554,52,16,60,GPS1_Frame,42.33845,-71.09202666666667,47.926998138427734,5,0.8999999761581421,327660.8302096497,4689474.601948218,170416.59375,19,T
1697735057.8354871,53,17,60,GPS1_Frame,42.33845,-71.09202833333333,47.84600067138672,5,0.8999999761581421,327660.69290547323,4689474.605326268,170417.59375,19,T
1697735058.8301258,54,18,60,GPS1_Frame,42.33844833333333,-71.09202833333333,47.76499938964844,5,0.8999999761581421,327660.6883522385,4689474.420255567,170418.59375,19,T
1697735059.8296845,55,19,60,GPS1_Frame,42.33844833333333,-71.09202833333333,47.70199966430664,5,0.8999999761581421,327660.6883522385,4689474.420255567,170419.59375,19,T
1697735060.8408968,56,20,60,GPS1_Frame,42.33844833333333,-71.09202833333333,47.85599899291992,5,0.8999999761581421,327660.6883522385,4689474.420255567,170420.59375,19,T
1697735061.842849,57,21,60,GPS1_Frame,42.33844833333333,-71.09202833333333,47.95800018310547,5,0.8999999761581421,327660.6883522385,4689474.420255567,170421.59375,19,T
1697735062.8341568,58,22,60,GPS1_Frame,42.33844833333333,-71.09203,48.06399917602539,5,0.8999999761581421,327660.55104805634,4689474.423633618,170422.59375,19,T
1697735063.8521385,59,23,60,GPS1_Frame,42.33845,-71.09203,48.257999420166016,5,0.8999999761581421,327660.5556012947,4689474.608704319,170423.59375,19,T
1697735064.8725643,60,24,60,GPS1_Frame,42.33844833333333,-71.09203,48.415000915527344,5,0.8999999761581421,327660.55104805634,4689474.423633618,170424.59375,19,T
1697735065.882351,61,25,60,GPS1_Frame,42.33844833333333,-71.09203166666667,48.62099838256836,5,0.8999999761581421,327660.4137438742,4689474.427011673,170425.59375,19,T
1697735066.8896918,62,26,60,GPS1_Frame,42.33844833333333,-71.09203166666667,48.849998474121094,5,0.8999999761581421,327660.4137438742,4689474.427011673,170426.59375,19,T
1697735067.9101136,63,27,60,GPS1_Frame,42.33844833333333,-71.09203333333333,49.064998626708984,5,0.8999999761581421,327660.2764396961,4689474.43038973,170427.59375,19,T
1697735068.9269688,64,28,60,GPS1_Frame,42.33844833333333,-71.09203333333333,49.29499816894531,5,0.8999999761581421,327660.2764396961,4689474.43038973,170428.59375,19,T
1697735069.9371607,65,29,60,GPS1_Frame,42.33844833333333,-71.092035,49.54100036621094,5,0.8999999761581421,327660.1391355139,4689474.43376779,170429.59375,19,T
1697735070.9543424,66,30,60,GPS1_Frame,42.33844833333333,-71.092035,49.79800033569336,5,0.8999999761581421,327660.1391355139,4689474.43376779,170430.59375,19,T
1697735071.9635124,67,31,60,GPS1_Frame,42.33844666666667,-71.09203666666667,50.04999923706055,5,0.8999999761581421,327659.9972780789,4689474.252075152,170431.59375,19,T
1697735072.9829905,68,32,60,GPS1_Frame,42.33844666666667,-71.09203833333333,50.284000396728516,5,0.8999999761581421,327659.85997389513,4689474.255453217,170432.59375,19,T
1697735073.9773629,69,33,60,GPS1_Frame,42.33844666666667,-71.09204,50.481998443603516,5,0.8999999761581421,327659.72266971134,4689474.258831286,170433.59375,19,T
1697735075.0187926,70,34,60,GPS1_Frame,42.338445,-71.09204,50.60499954223633,5,1.100000023841858,327659.7181164515,4689474.073760585,170434.59375,19,T
1697735076.0609698,71,35,60,GPS1_Frame,42.338445,-71.09204166666666,50.650001525878906,5,1.0,327659.58081226196,4689474.077138655,170435.59375,19,T
1697735077.1266882,72,36,60,GPS1_Frame,42.338445,-71.09204166666666,50.66699981689453,5,1.0,327659.58081226196,4689474.077138655,170436.59375,19,T
1697735078.1778283,73,37,60,GPS1_Frame,42.338445,-71.09204333333334,50.8650016784668,5,0.8999999761581421,327659.4435080724,4689474.080516729,170437.59375,19,T
1697735079.1430619,74,38,60,GPS1_Frame,42.33844333333333,-71.09204333333334,51.04899978637695,5,0.8999999761581421,327659.43895480543,4689473.895446027,170438.59375,19,T
1697735080.1289556,75,39,60,GPS1_Frame,42.33844333333333,-71.092045,51.176998138427734,5,0.8999999761581421,327659.3016506164,4689473.898824102,170439.59375,19,T
1697735081.115528,76,40,60,GPS1_Frame,42.33844333333333,-71.092045,51.36800003051758,5,0.8999999761581421,327659.3016506164,4689473.898824102,170440.59375,19,T
1697735082.0952902,77,41,60,GPS1_Frame,42.33844333333333,-71.09204666666666,51.612998962402344,5,0.8999999761581421,327659.1643464232,4689473.9022021815,170441.59375,19,T
1697735083.0638082,78,42,60,GPS1_Frame,42.33844333333333,-71.09204666666666,51.75400161743164,5,0.8999999761581421,327659.1643464232,4689473.9022021815,170442.59375,19,T
1697735084.0283523,79,43,60,GPS1_Frame,42.33844333333333,-71.09204833333334,51.930999755859375,5,0.8999999761581421,327659.02704222995,4689473.905580263,170443.59375,19,T
1697735084.9977067,80,44,60,GPS1_Frame,42.33844333333333,-71.09204833333334,52.077999114990234,5,0.8999999761581421,327659.02704222995,4689473.905580263,170444.59375,19,T
1697735085.788639,81,45,60,GPS1_Frame,42.33844333333333,-71.09204833333334,52.1150016784668,5,1.0,327659.02704222995,4689473.905580263,170445.59375,19,T
1697735086.8172014,82,46,60,GPS1_Frame,42.33844166666667,-71.09204833333334,52.11800003051758,5,1.0,327659.02248895227,4689473.720509563,170446.59375,19,T
1697735087.8246737,83,47,60,GPS1_Frame,42.33844166666667,-71.09205,52.13399887084961,5,1.0,327658.88518475747,4689473.723887647,170447.59375,19,T
1697735088.8435209,84,48,60,GPS1_Frame,42.33844166666667,-71.09205,52.17300033569336,5,1.0,327658.88518475747,4689473.723887647,170448.59375,19,T
1697735089.8506792,85,49,60,GPS1_Frame,42.33844166666667,-71.09205,52.202999114990234,5,1.0,327658.88518475747,4689473.723887647,170449.59375,19,T
1697735090.7990952,86,50,60,GPS1_Frame,42.33844166666667,-71.09205,52.1879997253418,5,0.8999999761581421,327658.88518475747,4689473.723887647,170450.59375,19,T
1697735091.8357975,87,51,60,GPS1_Frame,42.33844166666667,-71.09205166666666,52.270999908447266,5,0.800000011920929,327658.74788056273,4689473.727265734,170451.59375,19,T
1697735092.8201344,88,52,60,GPS1_Frame,42.33844,-71.09205166666666,52.375999450683594,5,0.800000011920929,327658.7433272779,4689473.542195031,170452.59375,19,T
1697735093.8175366,89,53,60,GPS1_Frame,42.33844,-71.09205333333334,52.40399932861328,5,0.800000011920929,327658.60602307733,4689473.54557312,170453.59375,19,T
1697735094.8030634,90,54,60,GPS1_Frame,42.33844,-71.09205333333334,52.40800094604492,5,0.800000011920929,327658.60602307733,4689473.54557312,170454.59375,19,T
1697735095.8122704,91,55,60,GPS1_Frame,42.33844,-71.09205333333334,52.48400115966797,5,0.8999999761581421,327658.60602307733,4689473.54557312,170455.59375,19,T
1697735096.826511,92,56,60,GPS1_Frame,42.33844,-71.092055,52.470001220703125,5,1.100000023841858,327658.46871887887,4689473.548951213,170456.59375,19,T
1697735097.8238244,93,57,60,GPS1_Frame,42.33844,-71.092055,52.47100067138672,5,1.100000023841858,327658.46871887887,4689473.548951213,170457.59375,19,T
1697735098.70465,94,58,60,GPS1_Frame,42.338438333333336,-71.092055,52.375,5,0.8999999761581421,327658.464165587,4689473.363880514,170458.59375,19,T
1697735099.8135037,95,59,60,GPS1_Frame,42.338438333333336,-71.09205666666666,52.30099868774414,5,0.8999999761581421,327658.32686138485,4689473.367258608,170459.59375,19,T
1697735100.8184013,96,0,60,GPS1_Frame,42.338438333333336,-71.09205666666666,52.25899887084961,5,0.800000011920929,327658.32686138485,4689473.367258608,170500.59375,19,T
1697735101.8171136,97,1,60,GPS1_Frame,42.338438333333336,-71.09205833333333,52.17100143432617,5,0.800000011920929,327658.1895571807,4689473.370636706,170501.59375,19,T
