Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,UTC,Zone,Letter
1696982373.3080459,0,86373,0,GPS1_Frame,42.33708166666667,-71.09030166666666,1.1,16.8,327799.2049578903,4689319.16409803,,19,T
1696982374.3076143,0,86374,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.8,327799.2049578903,4689319.16409803,,19,T
1696982375.3070452,0,86375,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.8,327799.2049578903,4689319.16409803,,19,T
1696982376.3073695,0,86376,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.8,327799.2049578903,4689319.16409803,,19,T
1696982377.306903,0,86377,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.8,327799.2049578903,4689319.16409803,,19,T
1696982378.3073869,0,86378,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.8,327799.2049578903,4689319.16409803,,19,T
1696982379.3062809,0,86379,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.8,327799.2049578903,4689319.16409803,,19,T
1696982380.3086812,0,86380,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.8,327799.2049578903,4689319.16409803,,19,T
1696982381.3071446,0,86381,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.8,327799.2049578903,4689319.16409803,,19,T
1696982382.348617,0,86382,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.8,327799.2049578903,4689319.16409803,,19,T
1696982383.3075073,0,86383,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.7,327799.2049578903,4689319.16409803,,19,T
1696982384.3090212,0,86384,0,GPS1_Frame,42.33708166666667,-71.09030166666666,0.9,16.7,327799.2049578903,4689319.16409803,,19,T
1696982385.320767,0,86385,0,GPS1_Frame,42.33708166666667,-71.09030166666666,1.1,16.7,327799.2049578903,4689319.16409803,,19,T
1696982386.3040004,0,86386,0,GPS1_Frame,42.33708166666667,-71.09030166666666,1.1,16.7,327799.2049578903,4689319.16409803,,19,T
1696982387.3047352,0,86387,0,GPS1_Frame,42.33708166666667,-71.09030166666666,1.0,16.7,327799.2049578903,4689319.16409803,,19,T
1696982388.3044116,0,86388,0,GPS1_Frame,42.33708166666667,-71.09030166666666,1.1,16.7,327799.2049578903,4689319.16409803,,19,T
1696982389.3052862,0,86389,0,GPS1_Frame,42.33708166666667,-71.09030166666666,1.1,16.7,327799.2049578903,4689319.16409803,,19,T
1696982390.30589,0,86390,0,GPS1_Frame,42.33708166666667,-71.09030166666666,1.1,16.7,327799.2049578903,4689319.16409803,,19,T
